reaction	left_comp	right_comp	left_smiles	right_smiles
DM8984	a	b	O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.C(=O)P(=O)(O)O	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+].C(=O)(O)P(=O)(O)O
DM8985	a	b	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.CCCCCCCCCCCCCC(C(CCCCCCCCCCCC)C(=O)[O-])O	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+].CCCCCCCCCCCCCC(=O)C(CCCCCCCCCCCC)C(=O)[O-]
DM8986	a	b	CC(C)C(C(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(CC(CP(=O)(O)[O-])O)C(=O)[O-])[NH3+]	O.CC(C)C(C(=O)NC(CCC[NH+]=C(N)N)C(=O)NC(C=CCP(=O)(O)[O-])C(=O)[O-])[NH3+]
DM8987	a	b	O.CCCCOCN(C1=C(C=CC=C1CC)CC)C(=O)CCl	CCCCO.CCC1=C(C(=CC=C1)CC)N(CO)C(=O)CCl
DM8988	a	b	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O.C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O.[Cl-]	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O.C1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=O)C=C(C4=C3)[O-])C5=CC=C(C=C5)O)CO)O)O)O)O)O
DM8989	a	b	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+].CC(=O)NC1C(OC(C(C1=O)O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O
DM8990	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.COC1=C(C=C(C2=C1OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O)O	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N.[H+].COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC)O)O
DM8991	a	b	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O.CCCO	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.CCCOC(=O)C
DM8992	a	b	O.CC(=CCCC(=CCCC(=CCCC(=CCOCC(COP(=O)([O-])OCC(COP(=O)([O-])[O-])O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C	[O-]P(=O)([O-])[O-].CC(C)CCCC(C)CCCC(C)CCCC(C)CCOCC(COP(=O)([O-])OCC(CO)O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C
DM8993	a	b	O.CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C	C(C1C(C(C(C(O1)O)O)O)O)O.CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
DM8994	a	b	O.C1=CC(=O)OC2=CC(=C(C=C21)O)OC3C(C(C(C(O3)CO)O)O)O	C(C1C(C(C(C(O1)O)O)O)O)O.C1=CC(=O)OC2=CC(=C(C=C21)O)O
DM8995	a	b	O.C1=CC=C2C(=C1)C(=CN2)CNC(=S)SCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+]	C(CC(=O)O)C(C(=O)O)N.C1=CC=C2C(=C1)C(=CN2)CNC(=S)SCC(C(=O)NCC(=O)[O-])[NH3+]
DM8996	a	b	O.C=C(C(=O)O)OP(=O)(O)O.CC1C(C(C(C(O1)O)NC(=O)C)O)NC(=O)C	[O-]P(=O)([O-])[O-].CC(C(C1C(C(CC(O1)(C(=O)[O-])O)O)NC(=O)C)NC(=O)C)O
DM8997	a	b	C1=CC=C(C=C1)C2=NC(=CC(=N2)Cl)Cl.C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	[H+].[Cl-].C1=CC=C(C=C1)C2=NC(=CC(=N2)Cl)SCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+]
